title,type,grade,subject,content_link,chapter_slug
Female Reproductive Organs,Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.61/primary/lesson/female-reproductive-structures-bio/,1-human-body
Male Reproductive Organs,Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.58/primary/lesson/male-reproductive-structures-bio/,1-human-body
"चुरोट, रक्सी र लागू पदार्थ",Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://pustakalaya.org/documents/detail/15cf0fca-4b3c-432c-b29c-718a2574525d/,2-community-health-and-mental-health
"यौन रोग, एच.आई.भी. र एड्स",Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.72/primary/lesson/sexually-transmitted-infections-bio/,5-sexual-and-reproductive-health
STIs,Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.72/primary/lesson/sexually-transmitted-infections-bio/,5-sexual-and-reproductive-health
Bacterial STIs,Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.72/primary/lesson/sexually-transmitted-infections-bio/,5-sexual-and-reproductive-health
Viral STIs,Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.72/primary/lesson/sexually-transmitted-infections-bio/,5-sexual-and-reproductive-health
Carcinogens and Cancer,Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.55/primary/lesson/carcinogens-and-cancer-bio/,5-sexual-and-reproductive-health
भूकम्पबाट सुरक्षित रहन गर्नुपर्ने पूर्व-तयारी,Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://pustakalaya.org/documents/detail/0314c40f-c60e-4a60-b2b0-b8052922b1d0/,5-sexual-and-reproductive-health
यौन र प्रजनन स्वास्थ्य अधिकार (किशोर-किशोरीहरूका प्रजनन स्वास्थ्य सम्बन्धी जिज्ञासा पुस्तिका),Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://pustakalaya.org/documents/detail/18e006f1-7f7c-486b-bdf3-5a23612d4af1/,5-sexual-and-reproductive-health
Pregnancy,Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.69/primary/lesson/pregnancy-and-childbirth-bio/,5-sexual-and-reproductive-health
Menstrual Cycle,Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.64/primary/lesson/menstrual-cycle-bio/,5-sexual-and-reproductive-health
Basketball Education,Document,8,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://pustakalaya.org/documents/detail/cc43f2ef-3244-46d1-a7b2-8d582fafa0ff/,5-sexual-and-reproductive-health
कमलामाईको पहिचान,Document,6,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/ebef4794-3b4f-4738-bea9-f1522c3e7315/,1-We and our community
केही राष्ट्रिय विभूतिहरू,Document,6,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/e6a93125-1e17-44cc-80bc-de1809b380bf/,2-Our Human values
केही धार्मिक तथा साँस्कृतिक सम्पदाहरू,Document,6,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/6c2b863a-bfd9-4ec3-af4b-d0fd948a6db3/,2-Our Human values
विविध सांस्कृतिक सम्पदाका धनी लोमान्थाङ्,Document,6,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/b37f1bb8-2648-43ef-aed5-7d163bbebe3e/,2-Our Human values
"हाम्रो सम्पदा: हाम्रो गौरव, हाम्रो दायित्व",Document,6,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/c6ee0330-fac2-4f0f-a870-45bc1dfe69d6/,2-Our Human values
बाल संरक्षण र सुरक्षा,Document,6,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/ab98c4a4-be48-4624-a37c-e3bbdb431cb8/,"3-Civic awareness, Duties and Rights"
बाल अधिकार,Document,6,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/1c13ece0-5df5-4132-9986-97adaddcc10a/,"3-Civic awareness, Duties and Rights"
विपद् र बालबालिका तनाब कम गराउने क्रियाकलाप,Document,6,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/72ba81e1-e2c5-4d6c-822c-4e94c730877d/,7-Our Earth
समाजको उत्पत्ति र विकासक्रम ,Document,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1060,1-We and our community
जिल्लाका विकास कार्यहरू,Document,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1066,1-We and our community
नेपालः विविधतामा एकता,Document,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/e59c3df1-536b-4ae5-be74-ca325e159296/,2-Our Human values
केही ऐतिहासिक व्यक्तित्व,Document,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1074,2-Our Human values
National Heroes of Nepal,Document,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/f408937a-38d8-4594-8c0b-5b6242dd87f6/,2-Our Human values
राष्ट्रकवि माधव घिमिरे ,Document,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/14590e73-5fad-4274-9f67-8674c3e48cb4/,2-Our Human values
नेपालको प्रथम वैज्ञानिक गेहेन्द्रसमसेर,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1073,2-Our Human values
सामाजिक समस्या र विकृति,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1075,4-Social problems and Distortions
सामाजिक विकृतिको कारण,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1076,4-Social problems and Distortions
शान्ति र यसको आवश्यकता,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1081,4-Social problems and Distortions
मध्यकालीन नेपालको परिचय,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1102,5-Our past
मध्यकालीन नेपालको सामाजिक अवस्था,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1104,5-Our past
मध्यकालीन नेपालको आर्थिक अवस्था,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1105,5-Our past
मध्यकालीन नेपालको कला र संस्कृति,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1106,5-Our past
कृषि र उद्‍योगबिच सम्बन्ध,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1112,6-Nepal's Economic activities
धरातलीय स्वरूप,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1092,7-Our Earth
अक्षांश र देशान्तरको परिचय,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1091,7-Our Earth
नेपालको भौगोलिक अवस्था,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1093,7-Our Earth
विविधताको सङ्‍गम नेपाल,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1094,7-Our Earth
जलवायु परिवर्तन - जानकारी पुस्तिका,Document,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/f238251c-6538-4f2c-95eb-25c4e98b76bd/,7-Our Earth
जलवायु परिवर्तन,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1098,7-Our Earth
जलवायु परिवर्तनको प्रभाव,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1099,7-Our Earth
"विपद् जोखिम न्यूनीकरण राष्ट्रिय नीति,२०७५",Document,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/c93c49c9-6b36-442a-8ad9-db0c270a375f/,7-Our Earth
नक्सा कार्य,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1095,7-Our Earth
नेपालको जनसङ्ख्याको बनोट,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1123,8-Population and Its Management
नेपालमा जनसङ्‍ख्या वृद्‌धिको अवस्था,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1125,8-Population and Its Management
जनसङ्‌ख्या व्यवस्थापन र त्यसका उपाय,Video,7,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/1127,8-Population and Its Management
जनशक्ति,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/797,1-We and our community
ऊर्जा,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/796,1-We and our community
खाने पानी,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/795,1-We and our community
विकास क्षेत्रको महत्‍त्‍व र सङ्‍घीय राज्य,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/794,1-We and our community
नेपाालमा विकास आयोजना,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/798,1-We and our community
नेपालः विविधतामा एकता,Document,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/e59c3df1-536b-4ae5-be74-ca325e159296/,2-Our Human values
नेपाल,Document,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/5f025b96-c339-4f05-8a8e-337d8b61824e/,2-Our Human values
नेेपालका सामाजिक परम्परा र प्रचलन,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/799,2-Our Human values
सुन्दर फुलबारी नेपाल,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/801,2-Our Human values
नेपालका संरक्षित क्षेत्रहरू,Document,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/1c7e8392-a93f-4307-b506-f8216522697e/,2-Our Human values
राष्ट्रिय सम्पदा,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/802,2-Our Human values
अन्तर्राष्‍ट्रिय व्यक्तित्व,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/803,2-Our Human values
हाम्रो संविधानका विशेषताहरू,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/816,"3-Civic awareness, Duties and Rights"
स्वतन्त्र न्यायपालिका,Document,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/0ffa24dd-b343-4a19-929c-08c73658be8f/,"3-Civic awareness, Duties and Rights"
न्यायपलिका,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/820,"3-Civic awareness, Duties and Rights"
सामाजिक समस्याहरू,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/815,"3-Civic awareness, Duties and Rights"
नागरिक दायित्‍व,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/817,"3-Civic awareness, Duties and Rights"
मौलिक हक कार्यान्वयनमा विधायिका र कार्यपालिकाको भूमिका,Document,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/b4c119f6-6c22-42b0-9458-8de563b4beb2/,"3-Civic awareness, Duties and Rights"
सामाजिक समस्याहरू,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/804,4-Social problems and Distortions
भ्रष्‍टाचार,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/805,4-Social problems and Distortions
लागु पदार्थ दुर्वेसन,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/806,4-Social problems and Distortions
अन्‍तर्राष्‍ट्रिय सङ्‌घ संस्थाहरु,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/810,4-Social problems and Distortions
वन्द र त्यस्का व्यवस्थापनद्वन्द र त्यस्का व्यवस्थापन,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/807,4-Social problems and Distortions
दिगो विकास,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/808,4-Social problems and Distortions
सुशासन,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/809,4-Social problems and Distortions
ग्रिस र रोमको सभ्यता,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/840,5-Our past
पुनर्जागरण,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/841,5-Our past
मुद्रा,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/844,6-Nepal's Economic activities
Deerwalk; बैँक,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/845,6-Nepal's Economic activities
वैदेशिक व्यापार,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/843,6-Nepal's Economic activities
ऋतु परिवर्तन,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/821,7-Our Earth
मौसम र हावापानी,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/822,7-Our Earth
जलवायु परिवर्तन - जानकारी पुस्तिका,Document,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/f238251c-6538-4f2c-95eb-25c4e98b76bd/,7-Our Earth
जलवायु परिवर्तन : शब्दावली,Document,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/017dd5ae-b262-477d-8dd8-ce2fa371deb8/,7-Our Earth
जलवायु परिवर्तन,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/824,7-Our Earth
"विपद् जोखिम न्यूनीकरण राष्ट्रिय नीति,२०७५",Document,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/c93c49c9-6b36-442a-8ad9-db0c270a375f/,7-Our Earth
भूकम्प,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/828,7-Our Earth
हावाहुरी,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/829,7-Our Earth
नेपाालको नक्सा,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/827,7-Our Earth
जनसङ्ख्या परिवर्तनका निर्धारकहरू,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/857,8-Population and Its Management
नेपालको जनसङ्‍ख्या बनोट,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/858,8-Population and Its Management
नेपालमा आन्तरिक र बाह्‍य बसाइँ सराइ,Video,8,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/860,8-Population and Its Management
शान्तिको अवधारणा,Video,9,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/2280,4-Social problems and Distortions
लैङ्गिक हिंसा विरूद्धको सचेतना पुस्तिका २०६७,Document,9,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/513715e5-4339-4d2f-a1f8-4db7e8ef102c/,4-Social problems and Distortions
सामाजिक समस्या र विकृति,Video,9,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://dlc.dwit.edu.np/chapter/show/2280,4-Social problems and Distortions
"विपद् जोखिम न्यूनीकरण राष्ट्रिय नीति,२०७५",Document,9,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/c93c49c9-6b36-442a-8ad9-db0c270a375f/,7-Our Earth
बसाइँ सराइ,Document,9,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/f5ec43b1-1afb-49c8-a32c-92ed85bece0f/,8-Population and Its Management
नेपाल,Document,10,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/5f025b96-c339-4f05-8a8e-337d8b61824e/,1-We and our community
निर्वाचन प्रणालीको प्रारुप,Document,10,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/064a1f42-07ed-45cb-b75c-c8791077805a/,"3-Civic awareness, Duties and Rights"
Literature Review on Harmful Practices in Nepal,Document,10,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/4f24ce8d-de3e-420a-8bd2-493b3fdcbc14/,4-Social problems and Distortions
Tourism Vision 2020,Document,10,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/4cdf74fa-b254-4893-9425-aa69f5f1d5c1/,6-Nepal's Economic activities
A Window to the Himalayas (Climate Witness Story),Document,10,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/72a487da-58a7-4f0d-9d91-f6740054eb97/,6-Nepal's Economic activities
भूकम्पीय जोखिम तथा पूर्वतयारीका उपायहरू,Document,10,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/ca58f3fb-922b-4fa3-996c-2076d1f2364b/,7-Our Earth
"गोरखा भुकम्प (अनुभव र सिकाइ), २०७२",Document,10,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/0d08769a-e87e-40f6-b469-be62b19cbaaa/,7-Our Earth
भूकम्प सुरक्षा दिवस मार्गदर्शन,Document,10,Social Studies and Human Value Education [[सामाजिक अध्ययन तथा मानवमूल्य शिक्षा]],https://pustakalaya.org/documents/detail/9a9ee3a7-6f6e-47b2-9524-f2eed373785c/,7-Our Earth
