title,type,grade,subject,content_link,chapter_slug
फापरखेती र बीउ उत्पादन प्रविधि,document,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/96e79afb-6e20-4bac-a258-01febe92441c/,5-life-process
गोलभेडाको वर्णशंकर बीउ उत्पादन प्रविधि‚ २०६९,document,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/ad517fbf-3e54-4a89-93c3-6b2420a425c2/,5-life-process
ग्राभिटी रोपवे,document,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/48d5490f-b22c-4cda-bb80-cf4ff6a91b3f/,6-force-and-motion
Friction,document,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-physics-flexbook-2.0/section/3.2/primary/lesson/friction-phys/,6-force-and-motion
Power,document,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-physics-flexbook-2.0/section/7.3/primary/lesson/power-phys/,6-force-and-motion
गुरुत्वाकर्षण,document,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/41146f83-0a3f-457a-9a9e-1b186d3f680d/,6-force-and-motion
Fluid pressure,document,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-middle-school-physical-science-flexbook-2.0/section/12.1/primary/lesson/pressure-in-fluids-ms-ps/,6-force-and-motion
Elasticity,document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-middle-school-physical-science-flexbook-2.0/section/10.3/primary/lesson/elastic-force-ms-ps/,7-force-and-motion
Newton's law,document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-middle-school-physical-science-flexbook-2.0/section/11.1/primary/lesson/newtons-first-law-ms-ps/,7-force-and-motion
प्रकाश र छाँया,document,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/9801f01e-a79d-49ac-9711-28adbc7e5560/,10-materials-used-in-daily-life
Busy Busy Sun,document,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/36edf160-a524-4301-a50f-2fe8d23be3cc/,10-materials-used-in-daily-life
Heat and Temperature,document,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/e810ce5e-4f72-469f-aece-5b073c7add56/,10-materials-used-in-daily-life
 Green House,Video,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/videos/detail/b76e161b-6979-4158-8ce4-561041ca0b84/,10-materials-used-in-daily-life
Too Much Noise,document,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/audios/detail/bdd7f9c1-e811-4c75-9ac9-b01328a744c2/,10-materials-used-in-daily-life
Story of Solar Energy,document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/7b9b9f5e-47f3-42c2-80c2-43db76df0838/,8-Simple machine
Biogas Comes to Madhuban: A Story of Change,document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/771abfab-ea93-4f1c-b0ba-2dad63c0c7b6/,8-Simple machine
Defects of vision,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/2464,10-wave
Faraday's law,Interactive,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://phet.colorado.edu/sims/html/faradays-law/latest/faradays-law_all.html,11-electricity
Magnet,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/2572,11-electricity
Electromagnetism,document,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-physics-flexbook-2.0/section/19.1/primary/lesson/electromagnets-phys/,11-electricity
DC Circuit,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/high-school-physics/dc-circuits,11-electricity
Series Circuits,document,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-physics-flexbook-2.0/section/17.3/primary/lesson/series-circuits-phys/,8-Electricity and magnetism
Parallel Circuits,document,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-physics-flexbook-2.0/section/17.4/primary/lesson/parallel-circuits-phys/,8-Electricity and magnetism
Current electricity,Video,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/2549,8-Electricity and magnetism
Energy Transfer in Electric Circuits,document,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-physics-flexbook-2.0/section/17.1/primary/lesson/energy-transfer-in-electric-circuits-phys/,8-Electricity and magnetism
Types of mixture,Video,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/bridge-course-class-9th-science/x6eb88c2e9caec515:week-1/x6eb88c2e9caec515:separation-of-substances/v/types-of-mixtures-middle-school-chemistry-khan-academy,9-Matter
Mixture,Video,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://docs.google.com/spreadsheets/d/1cCnaUYAe2u0jjuQ68mvrMBzT7YvmnmIxqhFc9ei7S_Y/edit#gid=2068201365,9-Matter
Evaporation,Video,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/class-9-chemistry/x46dd29ce84a663ea:is-matter-around-us-pure/x46dd29ce84a663ea:methods-to-separate-the-components-of-a-mixture/v/evaporation-is-matter-around-us-pure,9-Matter
Sublimation,Video,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/class-9-chemistry/x46dd29ce84a663ea:is-matter-around-us-pure/x46dd29ce84a663ea:methods-to-separate-the-components-of-a-mixture/v/sublimation-is-matter-around-us-pure,9-Matter
Chromatography,Video,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/class-9-chemistry/x46dd29ce84a663ea:is-matter-around-us-pure/x46dd29ce84a663ea:methods-to-separate-the-components-of-a-mixture/v/basics-of-chromatography,9-Matter
Elements and compounds,Video,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/2550,9-Matter
